title,reviews
극장판 안녕 자두야: 제주도의 비밀," 
명절 마지막 날 아이가 친구들이랑 약속을 잡았거든요.
친구들이랑 영화를 보고 싶다고 하길래.
동네 CGV 영화관에 아이들 영화 중 재미있는 게
뭐가 있을까? 찾아 보다가
극장판 안녕 자두야 제주도의 비밀 티켓 3장 예매를 했어요.



 



아이들 셋 만나자마자 신나서~
영화관 안에서 마실 음료수 하나씩 취향껏 골라서
바로 넣어 주고,
저는 영화관 앞에서 책 읽기 했어요.

우와 나름 힐링 시간 고마워!





 

명절 연휴라서 그런지 조용했어요.
코로나가 심해져서 걱정하고 갔는데,
우리 아이들 한가운데에서 아주 편안하게 영화관람하고
나왔답니다.

와 완전 재미있었다고 하더라고요.
돼지들이 너무 귀엽고,
자두가 가는 곳에는 자꾸만 사건이 터지지만
너무너무 재미있고 좋았데요.

엄마 뿌듯!
집에 와서도 한참 아이들끼리 놀고
맛난 떡볶이 먹여서 보냈지요.
이렇게 명절 연휴 마지막 날 마무리했네요.






극장판 안녕 자두야: 제주도의 비밀
감독
손석우
출연
여민정, 김영은, 정혜옥, 정유미, 양정화
개봉
2022.01.27. 대한민국
평점
리뷰보기
 "
극장판 안녕 자두야: 제주도의 비밀,"극장판 안녕 자두야: 제주도의 비밀
감독
손석우
출연
여민정, 김영은, 정혜옥, 정유미, 양정화
개봉
2022.01.27. 대한민국
평점
리뷰보기

티비 애니메이션 채널을 넋놓고 보던 조카의 모습이 선했던 <안녕 자두야>를 극장에서 보게 되었습니다. 너무 아이들을 위한 애니메이션이 아닐까 싶었는데요.



생각보다 이야기도 좋고 아이들의 묘한 삼각 러브라인도 너무 귀여웠습니다.
특히나 제주도를 배경으로 한 작품이라 바다 등 아름다운 제주의 모습도 좋았습니다.



캐릭터 중엔 역시나 자두의 캐릭터가 가장 인상적이었는데요. 질투심 많고 왈가닥인 성격이지만 큰 사건이 벌어질때 행하는 카리스마가 폭발하더라고요.

다음에 또 기회가 된다면 꼭 극장에서 보고 싶은 작품이었습니다.



가시장미님의 초대로 잘 관람했습니다."
극장판 안녕 자두야: 제주도의 비밀,"극장판 안녕 자두야: 제주도의 비밀
감독
손석우
출연
여민정, 김영은, 정혜옥, 정유미, 양정화
개봉
2022.01.27. 대한민국
평점
리뷰보기



평소 애니메이션을 잘 보는 우리 가족
아이가 어리다 보니 가족 모두가
만화를 즐겨 보게 되네요

그중에 즐겨 보는 애니메이션이
안녕,자두야인데요
자두 캐릭터가 워낙 귀엽고 발랄해서
보면서 웃고 떠들다 보면 동심으로 돌아가게
되는거 같습니다.







 

이번 극장판 
안녕,자두야 : 제주도의 비밀
개봉해서 아이와 손잡고
영화관 스크린으로 보고 왔습니다.


가족단위로 많이 왔더라구요
(코로나에 영화 얼마만에 보는지....^^)






자두의 캐릭터는 언제나 동글동글하고
귀엽네요 보면볼수록 기분좋아지는 ^^

극장판 안녕, 자두야 : 제주도의 비밀은
제주도를 배경으로 나옵니다.

제주도를 정말 너무 잘 표현해놓은 
만화를 보고있다보니
제주도여행이 절실해 지더라구요


자두네와 친구들 가족들이
제주도로 여행을 가고
그곳에서 만난 친구 전복이의 갈등을
소재로 이야기가 시작되는데요

자두친구들의 우정과 사랑을 다룬이야기인가?
처음엔 그리 생각되었는데

점점..스토리가 ㅋㅋ
전설적인 이야기로 ㅋ
혼인지 전설을 모티브로해서
조금은 엉뚱하고 조금은
그럴듯한 이야기를 펼치는 








자두와 친구 윤석이 그리고 전복이의
사랑싸움에
혼인지 전설에 나오는 이야기를 토대로
저주가 시작되면서
사람들이 모두 돌맹이가 되어버리는..
그걸 다시 회복시키려는
전복이와 자두의 모험

그 모험의 끝은 어찌될찌...

중간중간에 돼지들이 나와서
재미를 더했던 영화였네요









이제 8살 되는 아이
스토리 파악이 잘 될찌 이해는 잘된건지
잘 모르겠지만
카르륵, 카르륵 열심히 소리내어
영화관이 울릴정도로
목청껏 웃는 아들 덕분에
엄마조금 당황!ㅋㅋ


제주도를 잠시 다녀온것 같은
기분 으로
재미있게 보았던 영화입니다.





 "
극장판 안녕 자두야: 제주도의 비밀,"애니 [극장판 안녕 자두야: 제주도의 비밀] 메인 예고편 : 2022.01 : 애니메이션



‘자두’는 제주도 가족여행에서 만난
엄친딸 제주 소녀 ‘전복’이가 못마땅하다.
게다가 ‘윤석’이를 바라보는 저 하트 눈빛은 뭐람!
 베프 윤석이를 전복이가 독차지하자
화가 난 자두는 실수로 돌하르방을 넘어뜨리고,
먼 옛날 저주를 품고 봉인된 ‘보리’가 깨어난다.

보리가 쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고,
자두와 친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데…
 제주도로 자! 떠나보자 두!
명랑히어로 자두의 판타스틱 어드벤처!
제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?
2022.01 / 

감독: 손석우
출연: 여민정, 김영은, 정혜옥, 정유미

* 정보
https://movie.naver.com/movie/bi/mi/basic.naver?code=208821


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^




애니 [극장판 안녕 자두야: 제주도의 비밀] 스페셜 예고편 : 2022.1.27 : 애니메이션




애니 [극장판 안녕 자두야: 제주도의 비밀] 자두VS전복 스페셜 영상 : 2022.1.27 : 애니메이션






















 "
극장판 안녕 자두야: 제주도의 비밀,"새콤하게 자~♪ 달콤하게 두~♬

노래만 들어도 명랑함이 느껴지는 '안녕 자두야'

겨울방학 온가족이 다함께 보면 좋을 애니메이션 패밀리영화 추천




명랑히어로 자두의 판타스틱 어드벤처
극장판 안녕 자두야: 제주도의 비밀

2022년 1월 대개봉

한데요~~
 




극장판 안녕 자두야: 제주도의 비밀  메인 예고편

https://tv.naver.com/v/24448208
동영상
'극장판 안녕 자두야: 제주도의 비밀' 메인 예고편
네이버 영화 예고편 저장소
tv.naver.com






Synopsis


'자두'는 제주도 가족여행에서 만난 엄친딸 제주 소녀 '전복'이가 못마땅하다.
게다가 '윤석'이를 바라보는 저 하트 눈빛은 뭐람!!

베프 윤석이를 전복이가 독차지하자 화가 난 자두는 실수로 돌하르방을 넘어뜨리고
먼 옛날 저주를 품고 봉인된 '보리'가 깨어난다.

보리가 쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고
자두와 친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데..

제주도로 자! 떠나보자 두!
명랑히어로 자우의 판타스틱 어드벤처
제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?

 






아이들은 물론 남녀노소 애정하는 No.1 애니메이션 '안녕 자두야'
이번이 두번째 극장판 시리즈라고 하는데요.
더욱 업그레이드된 재미와 스케일을 장착하고
다시 한번 안녕 자두야의 매력을 많은 관객들에게 전달 할 예정인

극장판 안녕 자두야: 제주도의 비밀

제주에 오랫동안 전해져 내려온 혼인지 설화를 모티브로 한
상상력 넘치는 스토리와 함께 아름다운 제주의 풍경들이 스크린에 생생하게 펼쳐져
극장판에서만 만날 볼 수 있는 스펙터클한 스케일과 볼거리를 선사할 예정이랍니다.








늘 투닥투닥 유쾌한 케미를 자랑하는 자두, 윤석, 민지, 돌돌이의 모습은 물론
극장판 안녕 자두야: 제주도의 비밀 에서만 만나볼 수 있는
매력만점 새로운 캐릭터들이 등장할 예정이라 더욱 기대감이 UP!!

제주에서 만난 자두의 10살 인생 최대의 라이벌 전복이는
윤석이에게 첫눈에 반해버리고 적극적으로 마음을 표현하는데..
자두, 윤석, 전복이의 삼각관계를 형성하며 스토리가 어떻게 전개될지??

여기에 세상에 귤을 가장 사랑하는 제주도 흑돼지 삼형제 등장
엉뚱하지만 재치있는 순발력으로 자두특공대를 돕는
최대 조력자로 활약하며 최강 씬스틸러 역활을 톡톡히 할 예정이라는데요.











6년 만에 스크린으로 돌아온
명랑히어로 자두의 스펙터클 제주 어드벤처를 만나 볼 수 있는 영화

극장판 안녕 자두야: 제주도의 비밀



보고만 있어도 유쾌발랄 기분 좋아지는 안녕 자두야
이번 극장판 안녕 자두야는 어떤 재미와 기쁨을 안겨줄런지???


울아이들도 평소 아주 좋아하고 애정하는 애니메이션 중 하나로
1월 개봉하는대로 바로 극장으로 달려갈 예정이라죠.


올 겨울방학 추위는 잠시 잊고
자두특공대와 함께 상상초월 제주 모험기를 함께 하실 분들~~
극장판 안녕 자두야: 제주도의 비밀
겨울방학 영화 추천!!
함께 즐겨보아요~"
극장판 안녕 자두야: 제주도의 비밀,"애니 [극장판 안녕 자두야: 제주도의 비밀] 메인 예고편 : 2022.01 : 애니메이션



‘자두’는 제주도 가족여행에서 만난
엄친딸 제주 소녀 ‘전복’이가 못마땅하다.
게다가 ‘윤석’이를 바라보는 저 하트 눈빛은 뭐람!
 베프 윤석이를 전복이가 독차지하자
화가 난 자두는 실수로 돌하르방을 넘어뜨리고,
먼 옛날 저주를 품고 봉인된 ‘보리’가 깨어난다.

보리가 쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고,
자두와 친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데…
 제주도로 자! 떠나보자 두!
명랑히어로 자두의 판타스틱 어드벤처!
제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?
2022.01 / 

감독: 손석우
출연: 여민정, 김영은, 정혜옥, 정유미

* 정보
https://movie.naver.com/movie/bi/mi/basic.naver?code=208821


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^




애니 [극장판 안녕 자두야: 제주도의 비밀] 스페셜 예고편 : 2022.1.27 : 애니메이션




애니 [극장판 안녕 자두야: 제주도의 비밀] 자두VS전복 스페셜 영상 : 2022.1.27 : 애니메이션




애니 [극장판 안녕 자두야: 제주도의 비밀] 제주어 스페셜 영상 : 2022.1.27 : 애니메이션






















 "
극장판 안녕 자두야: 제주도의 비밀," <안녕 자두야>의 두 번째 극장판 시리즈 <극장판 안녕 자두야: 제주도의 비밀>은 제주도로 떠난 ‘자두’ 가족과 친구들의 이야기를 담고 있다.

제주도로 가족여행을 떠난 자두는 엄마의 옛 친구의 딸인 ‘전복’을 만난다. 엄친딸인 제주 소녀 전복은 자두의 절친인 윤석에게 한눈에 반하고, 윤석을 독차지하려 한다.

자두는 두 사람이 있는 시간을 방해하려다 실수로 돌하르방을 넘어뜨린다. 돌하르방에 봉인되어있던 ‘보리’가 깨어나고 저주를 품고 있던 보리에 의해 사람들은 돌이 되어 굳어버린다.

자두와 친구들은 저주를 풀어 돌이 된 윤석과 사람들을 되돌리기 위해 모험을 하는 내용이다.

자두 탄생 25주년을 맞아 개봉하는 <극장판 안녕 자두야: 제주도의 비밀>은 제주의 혼인지에 얽힌 설화를 모티브로 제주도의 아름다운 풍경과 풍습들을 담고 있다.

코로나19로 쉽게 여행을 떠나지 못하는 현실을 스크린으로 탈출할 수 있을 만큼 제주도의 다양한 장소와 먹거리 등을 소개한다. 유채꽃밭 사진 촬영, 폭포, 주상절리 구경하기, 혼인지 마을 등의 관광 코스가 나오며 아름다운 제주도의 풍광을 소개한다.

귤 따기 체험, 아쿠아리움 관람, 해변에서의 공놀이, 승마 체험, 전통 혼례 체험 등의 다양한 체험코스도 함께 보여주며 제주도의 다양한 즐길 거리를 간접 경험할 수 있다.

또, 제주도 전통 먹거리 및 해녀들의 공연도 나오며 제주도에 관한 흥미를 유발한다.

내용은 재미있지만, 재미있는 스토리와는 별개로 누구를 위한 애니메이션인가에 대한 의구심이 든다.

의자에 서면 안된다는 승무원의 주의에도 말을 듣지 않던 아이들이 “주스 안 드시는 거죠?”라는 승무원의 말에는 눈을 반짝이며 자리에 앉는 장면이 나온다. 아이들의 순진함에 웃음이 나오지만, 다르게 생각하면 주의는 무시하면서 먹을 것이라는 미끼에 아이들의 행동이 교정된다.

자두는 승마체험장에서 말을 타는 방법을 설명하는 도중 훌쩍 말을 탄다. 설명이 끝나기도 전에 말을 자르고 행동을 옮기는 모습에 자두의 자세가 좋다는 이유로 친구들은 멋있다고 한다. 자칫, 자세만 좋으면 안전 설명을 무시하고 말을 타도 상관없다는 인식을 줄 수 있다.

그리고 바로 친구들을 말 뒤에 태우고 윤석을 찾아간다. 그냥 말을 타고 윤석이 있는 축제장으로 간 것이다. 하지만 어디에도 잘못된 행동에 대해 이야기하지 않는다. 무엇이 잘못 되었는지 이야기하지 않고 웃음의 소재로만 사용된다.

돼지의 모습을 한 천겹살의 신은 “꿀꿀꿀”로 이야기하지만 이상하게도 돌돌만이 그 말을 알아듣는다. 돌돌은 다른 아이들보다 통통한 외모를 가지고 있다. 자칫 외모비하로 볼 수 있는 장면으로 사람들이 자연스럽게 수긍한다는 것이 더 위험요소다.

그리고, 그릇된 부모의 행동들이 자연스럽게 녹아있다. 아이들이 처음 제주도를 여행한다지만 의자에 서서 창밖을 구경해도 부모들은 주의를 주지 않는다. 공항에서 자두 엄마 난향의 친구인 미희를 만났을 때 아이들이 미희를 보고 불여우라고 한다. 아이들의 철없는 행동으로 보이지만 아이들 앞에서 부모가 말하지 않았다면 아이들이 그런 이야기를 할 수가 없었을 것이다.

자두가 감귤체험농장에서 과도하게 귤을 따는 장면이 있다. 친구인 민지는 다른 사람을 위해 남겨두어야 하지 않냐고 말하지만, 자두의 엄마는 “잘하고 있다, 우리도 분발하자”고 말하며 자두의 행동을 긍정한다.

아이의 부적절한 행동을 오히려 부모가 강화시키는 것이다. 아이들이 주인공인 애니메이션이라지만 아이들의 그릇된 행동에 대해 적절한 대처를 하지 못하는 부모가 계속 노출된다.

아이에게 자신의 과거를 투영하고, 부모로서 하지 말아야 할 말을 하는 등의 부적절한 행동들이 자연스럽게 녹아들어 부모에 대한 부정적인 이미지를 심어줄 여지가 있다. ‘전체연령가’는 성인을 포함한 전 연령을 뜻한다지만 성인만을 대상으로 한다 해도 보기 불편한 부분들이다.

또, 아이들이 보기에는 너무 자극적인 장면들이 많다. 제주도를 향하는 비행기가 난기류를 만나고 번개에 감전되어 엔진에 불이 붙어 바다로 추락한다.

바다에 빠진 비행기에 타고 있던 사람들이 모두 돌로 변하고 물에 빠진 비행기 밖에 있던 의문의 청년도 돌로 변한다. 예지몽과 같은 자두의 꿈이라지만 이런 자극적인 장면들은 계속 나온다.

자두와 친구들은 무엇인가에 놀라 소리를 지르거나, 다른 사람을 놀린다. 자두와 전복의 라이벌 관계 혹은 연적 관계라는 상황이라지만, 인상을 쓰는 장면이 자주 나오며, 사소한 일에도 화를 내곤 한다.

공항에서 빠져나오는 자두가 모자를 쓰는데 친구인 돌돌은 구토하는 시늉을 하고는 자두를 놀린다.

자두의 엄마인 난향의 친구 미희는 만나자마자 반가워하며 난향의 팔을 만지더니 “더 튼실해졌구나”라며 놀리는 듯한 말을 하고 자극 받은 난향은 미희의 팔을 비튼다.

모험을 통해 함께 성장하는 우정의 소중함을 이야기한다지만, 인격이 형성되는 시기의 아이들에게 관람을 시킬 것이라면 다시 한번 생각해보는 것이 현명한 부모의 선택일 것으로 보인다.

애니메이션 <극장판 안녕 자두야: 제주도의 비밀>은 오는 27일에 개봉한다.

/마이스타 박선영 기자

기사 원문보기 http://www.mystar.ne.kr/archives/9811
[마이스타] 재미를 빙자한 자극적 소재 가득해
의 두 번째 극장판 시리즈 은 제주도로 떠난 ‘자두’ 가족과 친구들의 이야기를 담고 있다. 제주도로
www.mystar.ne.kr
극장판 안녕 자두야: 제주도의 비밀
감독
손석우
출연
여민정, 김영은, 정혜옥, 정유미, 양정화
개봉
2022.01.27. 대한민국
리뷰보기
 "
극장판 안녕 자두야: 제주도의 비밀,"극장판 안녕 자두야: 제주도의 비밀
감독
손석우
출연
여민정, 김영은, 정혜옥, 정유미, 양정화
개봉
2022.01.27. 대한민국
평점
리뷰보기


극장판 안녕 자두야: 제주도의 비밀 2022.01.27
전체 관람가 / 애니메이션 / 한국 / 90분 / 손석우 감독
여민정(자두), 김영은(윤석), 정혜옥(민지), 정유미(돌돌), 양정화(전복) 목소리 역

[네이버 영화 줄거리]

'자두'는 제주도 가족여행에서 만난 엄친딸 제주 소녀 '전복'이가 못마땅하다.
게다가 '윤석'이를 바라보는 저 하트 눈빛은 뭐람!
베프 윤석이를 전복이가 독차지하자 화가 난 자두는 실수로 돌하르방을 넘어뜨리고, 먼 옛날 저주를 품고 봉인된 '보리'가 깨어난다.
보리가 쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고, 자두와 친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데...
제주도로 자! 떠나보자 두!명랑히어로 자두의 판타스틱 어드벤처!
제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?







[기억에 남는 명대사]

자두 ""문은 열라고 있는거야"", 전복 ""좋아하는데 자존심이 왜 필요하니?""

내가 어렸을 때 보던 안녕 자두야! 오늘날 우리 딸들도 재미있게 보는 애니메이션이랍니다
최자두 캐릭터 탄생 25주년 기념으로 만든 극장판 두번째 작품으로 배경은 제주도인데 아는 장소들이 나오니까 여행 떠나고 싶어져요


 "
극장판 엉덩이 탐정: 수플레 섬의 비밀 (Butt Detective the Movie: the Secret of Souffle Island),"어린이영화 :: 극장판 엉덩이 탐정 : 수플레 섬의 비밀


극장판 엉덩이 탐정: 수플레 섬의 비밀
감독
자코 아키후미
개봉
2022.05.05. 일본
평점
리뷰보기

매년 어린이날엔 뭘 해야하나 고민이다.
놀이동산에 데려가고 싶지만 미어터질 놀이동산을 생각하면 쩜쩜쩜...
작년엔 아쿠아리움에 갔었는데 그때도 사람이 너무 많아서 사람 구경만 하다가 온 듯.

그래서 이번엔 영화를 보러 가기로 했다.
마침 별이가 좋아하는 엉덩이탐정이 어린이날에 맞춰 개봉을 한다기에 
고민없이 엉덩이탐정으로 예매했다.



어린이날이라 아침 일찍부터 일어난 별이.






영화를 기다리면서 요즘 별이가 푹 빠진 프리채널 게임 한판.
게임 한판 하는데 무려 한시간을 기다렸다.






극장판 엉덩이 탐정 : 수플레 섬의 비밀 

반가운 엉덩이탐정과 브라운.
별이한테 엉덩이탐정 책을 엄청 읽어줘서 나도 반갑게 느껴졌다. 히히






두 손을 꼬옥 쥐고 오랜만에 즐거운 영화 관람.







눈을 요리조리.
<극장판 엉덩이탐정 : 수플레 섬의 비밀>은 두가지 이야기가 나오는데 
상영시간이 1시간 정도라 좀 짧은 느낌이다.
근데 아이들이 엄청 좋아함.

첫번째 이야기는 귀여운 브라운과 코알라양이 나오는 귀여운 이야기이고 
두번째 이야기는 영화 제목의 수플레 섬의 비밀 이야기다.
수플레 섬의 보물을 또 괴도 유가 훔치러 온다는 예고장을 보내서 
엉덩이 탐정과 브라운, 견공 경찰서 일행이 수플레 섬으로 가는 내용.
엉덩이 탐정은 수플레 섬의 보물을 지켜낼 수 있을 것인가.





브라운이 내주는 숨은 엉덩이 그림 찾기도 하고.
영화에서 엉덩이 그림을 찾는 건데 아이들이 엉덩이 그림 나오면 
저기 있다고 다들 엉덩이 그림 찾기 바쁘다.
별이도 엉덩이 그림 한번 찾으면 저기 있다고 나한테 알려주기 바쁨. 






이제 영화관에서 음식을 섭취할 수 있어서 별이도 과자를 먹으며 관람 중.






아주 편하게 누워서 봄. 히히






영화가 너무 빨리 끝났다는 느낌이었지만 별이는 매우 만족했다.
영화 보는 내내 어찌나 집중을 해서 보던지.






갖고 싶어하던 포켓몬 도감 책도 사구요.








별이가 좋아하는 짜장면&탕수육도 먹구요.





 
마리지 아저씨가 주는 풍선도 받구요.
보석함 만들기도 하고 간식도 사먹고 별이가 너무 즐거워했던 하루였다.
이번 어린이날은 엉덩이탐정 덕분에 멀리 가지 않고도 즐거운 하루를 보낼 수 있었던 거 같다.

 "
극장판 엉덩이 탐정: 수플레 섬의 비밀 (Butt Detective the Movie: the Secret of Souffle Island)," 영화를 보면서 퀴즈를 푸는 황당하면서도 재미있는 애니메이션이 있다. 바로 <극장판 엉덩이 탐정: 수플레 섬의 비밀>이 그것이다.

5월 5일 어린이날에 개봉하는 <극장판 엉덩이 탐정: 수플레 섬의 비밀>은 가족과 함께 즐기기 좋은 애니메이션으로 전 세계 1,000만부 이상 팔린 베스터셀러 ‘엉덩이 탐정’이 원작이다.

뛰어난 추리력을 가진 엉덩이 탐정은 얼굴이 엉덩이 모양으로 입에서 방귀를 뿜으며 사건을 해결한다.

이번에 개봉하는 애니메이션 <극장판 엉덩이 탐정: 수플레 섬의 비밀>은 극장에서 세 번째로 만나는 시리즈로 러닝타임 59분 동안 2편의 작은 이야기를 감상할 수 있다.

극장판 개봉을 기념해 공개되는 스페셜 에피소드 ‘뿡뿡! 결성! 무엇이든 해결하는 탐정단’에는 엉덩이 탐정의 조수인 브라운의 활약상을 그렸다.

우쭐하는 성격 때문에 덤벙거리기도 하는 브라운은 엉덩이 탐정의 추리에 도움을 주는 든든한 조수지만 스페셜 에피소드에서 직접 추리를 하는 모습을 볼 수 있다. 코알라양의 브로치가 사라진 사건을 엉덩이 탐정이 늘 강조하던 조사의 기본 원칙인 “기억하고, 조사하고, 이해한다!”를 떠올리며 착실하게 수사한다.

‘수플레 섬의 비밀’에서는 1년 내내 바람이 부는 수플레섬의 보물 ‘바람의 길잡이’를 지키기 위한 엉덩이 탐정의 명추리를 감상할 수 있다.

괴도 유의 절도 예고장으로 수플레 섬에 방문한 엉덩이 탐정은 하늘을 자유자재로 누빌 수 있는 특별한 능력을 가진 루루를 만난다.

늘 바깥 세상을 동경하는 루루는 괴도 유의 유혹에 넘어가 협조하는 실수를 저지른다. 하지만, 엉덩이 탐정과 함께 보물을 지키기 위해 협력하고 알려지지 않은 수플레 섬의 비밀을 밝힌다.

특이한 점은 중간에 엉덩이 모양을 찾는 등의 문제가 나와 아이들과 함께 문제를 풀어보면서 즐겁게 관람이 가능하다는 것이다.

길 찾기나 퍼즐 맞추기, 장면 속 엉덩이 찾기 같은 문제는 보는 재미 만큼이나 푸는 재미가 쏠쏠하다. 애니메이션 중간에 나오는 문제들로 집중력이 흐트러지지 않고 어느새 엉덩이를 찾고 있는 자신을 발견할 것이다.

마지막에는 숨어있던 엉덩이의 해답이 등장해 얼마나 맞췄는지 알 수 있어 더욱 재미를 더한다.

성인이 봐도 무난한 내용으로 아이들과 함께 보면 이야기하면서 볼 내용들이 다양하게 있어 대화하면서 영화를 볼 수 있다는 장점이 있다.

/마이스타 박선영 기자

기사 원문보기 http://www.mystar.ne.kr/archives/10252
[마이스타] 영화 보면서 퀴즈도 풀 수 있어
영화를 보면서 퀴즈를 푸는 황당하면서도 재미있는 애니메이션이 있다. 바로 이 그것이다. 5월 5일 어린이날에 개봉하는 은 가족과 함께 즐기기 좋...
www.mystar.ne.kr
극장판 엉덩이 탐정: 수플레 섬의 비밀
감독
자코 아키후미
개봉
2022.05.05. 일본
리뷰보기
 "
