title,reviews
아부쟁이,"아부쟁이
감독
황승재
출연
류의현, 김지민, 강유석, 동현배, 곽민호, 김동범
개봉
2022.06.16. 대한민국
평점
리뷰보기











황승재 감독이 연출한 <아부쟁이>는 악육강식이 난무하는 한 고등학교를 배경으로 한 학원물입니다.
  전직 일진 전학생인 박건(류의현)은 전학 온 첫 날 호걸(동현배) 일당의 시비에 일진 출신(?)답게 대처하지만 집단폭행을 당하고 더 이상 기를 못 펴는 것뿐만 아니라 라면 셔틀이 되고 맙니다. 반격을 놀리지만 여의치 않은 상황 속에서 유도부 봉희(김지민)를 만나 유도부에 가입해 호걸에게 다시 도전해보지만 또 다시 실패.
  그러던 와중 전직 조폭 출신의 태산(곽민호)가 등장하고 나름 공부에 일가견이 있던 박건의 든든한 지원자가 되어줍니다. 이후 호걸 일당들은 박건에게 접근하지 못할뿐더러 오히려 굽실거리기 시작합니다. 이에 호걸 일당들도 역전을 노리는 계획을 세웁니다.
  액션이 가미된 본격 학원물입니다. 일진들이 모인 학교라는 콘셉트를 갖고 있는 영화인데 봉희와 같은 캐릭터가 등장하는 것이 조금 이해가 가진 않습니다. 박건과의 멜로라인을 위해서 존재하는 캐릭터로만 보이더라고요. 또한 과장된 캐릭터와 상황이 많이 등장하는데 원래 방대한 웹툰을 원작으로 한 작품이라 어느 정도 이해를 해야겠지만 박건, 봉희, 대치와 삼각관계 등의 멜로라인은 조금 뜬금없어 보입니다. 그리고 엔딩에 등장하는 조폭들이 학교 강당에서 배신자를 처단한다는 것도 조금 과해보이고요.
  거의 국내에서 만들어지지 않은 학원물이라 반가운 점도 물론 있었습니다. 나쁜 놈과 더 나쁜 놈들 간의 싸움도 흥미롭고 말도 안 되는 나이 때의 캐릭터가 고등학생이라 점도 수용이 되지만 앞서 언급한 설정들로 인해 몰입이 방해되는 건 어쩔 수 없었습니다. 물론 방대한 양의 웹툰 원작이지만 각색 작업을 조금 더 현실성 있게 했다면 좀 더 괜찮은 작품이 되지 않았을까라는 생각을 해 보았습니다. "
아부쟁이,"- <아부쟁이> 개봉 소감을 담은 배우 7인의 영상 공개!
- ‘아부쟁이’ 개봉 기념 주연 배우들의 싸인 포스터 증정!
- MZ 라이징 스타들의 극장 점령 작전!
 

▲ ‘아부쟁이’ 메인 포스터 [사진제공=영화사 이공]

100만 뷰 조회 수의 인기 웹툰을 영화화한 <아부쟁이>가 전국 극장에서 개봉했다.
학원물 장르의 화려한 부활을 알리며 뜨거운 화제를 모으고 있는 영화 <아부쟁이>가 6월 16일 개봉을 알리며 출연 배우 7인의 릴레이 개봉 인사 영상을 공개했다.
 영화 <아부쟁이>는 일진 출신 주인공 ‘박건’이 전국 조폭들의 집합소라고 불리는 막장 학교 풍랑고에 전학 오면서 하루아침에 먹이 사슬 최하위로 전락하는 이야기를 그린다.


<아부쟁이>의 릴레이 개봉 인사 영상에는 영화의 주역들인 배우 류의현, 동현배, 강유석, 곽민호, 정경호, 강세형, 김동범 등이 총출동하여 영화 팬들의 관람 욕구를 더욱 증폭시키고 있다.
영화 <아부쟁이>는 조회 수 100만 뷰를 기록했던 인기 웹툰의 스토리에, MZ 세대가 열광하는 배우들의 개성 넘치는 연기를 더해 개봉 전부터 뜨거운 관심을 모은 바 있다. 이번에 공개된 개봉 인사 영상 또한 이러한 MZ 대표 배우들의 톡톡튀는 반가운 모습이 등장해 팬들의 기대치를 높이고 있다.
  거기에, 영화 <아부쟁이>의 개봉을 기념하여 주연 배우 3인방의 자필 싸인 포스터를 증정하는 관람 인증 이벤트 또한 실시하여 팬들의 큰 호응을 얻고 있다. 본 관람 인증 이벤트는, 관람 인증샷과 해시 태그를 SNS를 통해 게시한 관객들 중 추첨을 통해 배우 류의현, 동현배, 강유석의 자필 싸인이 담긴 포스터를 증정하는 방식으로 진행된다.
이러한 MZ 세대 라이징 스타들이 총출동한 영화 <아부쟁이>는 6월 16일 극장 개봉을 통해 개봉했다
  - SYNOPSIS
일진 생활 6년, 오늘부턴 아부만이 살 길!
고3 평균 연령 26.5세
전국구 형님들이 졸업장을 위해 모여드는 풍랑고.
의기양양하게 등교한 전직 일진 전학생 ‘박건’은
레벨이 다른 약육강식의 현실에 무릎 꿇고
큰 형님 ‘태산’을 보필하는 ‘아부쟁이’가 되기로 결심하는데…
약.육.강.식 먹이사슬 최하위!
약자 오브 약자의 극한 생존기가 시작된다
https://youtu.be/fIm4k_H0u7M
동영상
[아부쟁이] 메인 예고편
어제의 일진,차원이 다른 학생(?)들을 만나다!역대급 코믹 학원 액션 [아부쟁이]메인 예고편 최초 공개!#아부쟁이 #6월대개봉 #류의현 #강유석 #동...
youtu.be
아부쟁이
감독
황승재
출연
류의현, 김지민, 강유석, 동현배, 곽민호, 김동범
개봉
2022.06.16. 대한민국
리뷰보기"
아이 스틸 빌리브 (I Still Believe),"영화 [아이 스틸 빌리브] 메인 예고편(한글) : K.J 아파, 브릿 로버트슨 : 2022.1 : 로맨스




하나의 사랑이 당신의 삶을 바꾸고,
하나의 삶은 전 세계를 바꾼다!
가수를 꿈꾸는 대학생 ‘제레미’는
우연히 공연장에서 ‘멜리사’에게 첫눈에 반한다.
 운명 같은 사랑도 잠시,
‘멜리사’의 암이 발병하면서
 그들에겐 시간이 얼마 남지 않음을 알게 되고,
‘제레미’는 그녀를 위해 기적을 노래하기로 하는데…
 전 세계를 울린 기적의 노래가 시작된다!
2022.01 / I Still Believe, 2020

감독: 앤드류 어윈, 존 어윈
출연: K.J 아파, 브릿 로버트슨, 샤니아 트웨인, 게리 시니즈

* 영화 정보
https://movie.naver.com/movie/bi/mi/basic.naver?code=193604
https://movie.daum.net/moviedb/main?movieId=138469#


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^





영화 [아이 스틸 빌리브] 뮤직 예고편(한글) : K.J 아파, 브릿 로버트슨 : 2022.1: 감동 실화




------------- 해외 예고편 -------------




영화 [아이 스틸 빌리브 I Still Believe] 메인 예고편 : K.J 아파, 브릿 로버트슨 : 2020 : 로맨스














 "
아이 스틸 빌리브 (I Still Believe),"영화 [아이 스틸 빌리브] 메인 예고편(한글) : K.J 아파, 브릿 로버트슨 : 2022.1 : 로맨스




하나의 사랑이 당신의 삶을 바꾸고,
하나의 삶은 전 세계를 바꾼다!
가수를 꿈꾸는 대학생 ‘제레미’는
우연히 공연장에서 ‘멜리사’에게 첫눈에 반한다.
 운명 같은 사랑도 잠시,
‘멜리사’의 암이 발병하면서
 그들에겐 시간이 얼마 남지 않음을 알게 되고,
‘제레미’는 그녀를 위해 기적을 노래하기로 하는데…
 전 세계를 울린 기적의 노래가 시작된다!
2022.01 / I Still Believe, 2020

감독: 앤드류 어윈, 존 어윈
출연: K.J 아파, 브릿 로버트슨, 샤니아 트웨인, 게리 시니즈

* 영화 정보
https://movie.naver.com/movie/bi/mi/basic.naver?code=193604
https://movie.daum.net/moviedb/main?movieId=138469#


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^





영화 [아이 스틸 빌리브] 뮤직 예고편(한글) : K.J 아파, 브릿 로버트슨 : 2022.1: 감동 실화




------------- 해외 예고편 -------------




영화 [아이 스틸 빌리브 I Still Believe] 메인 예고편 : K.J 아파, 브릿 로버트슨 : 2020 : 로맨스"
아이 스틸 빌리브 (I Still Believe)," *포스터와 사진만 보면 재미있을 것 같지?
거기에 실화바탕에...
노래까지...
그러나 결코...
그렇진 않다.

신파조 있다.
















































이 영화가 재미가 없는 이유는?
일단 기독교...신....개념이 너무 들어가있다.

신에게 비는 것이야 들어갈 수 있는 영상이지만..

이 영화는 기독교 홍보용 같은 느낌이 있다.

남자 주인공이 가수라는데...
성가...즉 가스펠 가수다.
대중적이지 않다.
뭐 들을만하다...

그리고 실화지만...
스토리가 뻔하다.
좀더 절묘한 로맨스를 만들어낼 수 있었는데....

그런게 없다.

그러니까...
시골 어느 도시에서 한 남자가 집을 떠나는 장면이 도입부다.

학교에 입학하는 것 같은데...
그 건물이 교회식인지는 유심히 안보게 된다.
학교 자체가 신학대학인듯하다.

그는 아버지가 대출까지 받아 사준 기타를 갖고...
학교 선배가 공연하는 장소에 갔다가 한 여자에게 첫눈에 꽂혔고...
둘이 사랑하게 되는데....

그녀가 갑자기 입원...
알고보니...
난소암에 간까지 전이된 상황....
자궁을 들어냈는지..
수술에 성공했다.

하느님의 가피라고 말한다.
둘은 결혼한다.
그러나 재발했고...
그녀는 죽었다.

영화를 보면서....
저 젊은 남자가....
일편단심으로 그녀를 사랑하겠다는데...
그 젊은 열정을 어떻게 이겨내?
결국 바람필거야...하는 생각이 들면서...
차라리 죽어주는게 나을 거야...했는데...
정말로 죽었고....

맨 뒤에는 실존인물이 등장하고...
그와 비슷한 아픔을 가진 여자를 만나서..
3남매를 낳고 잘 살고 있다는 것...

여전히....첫사랑 그녀를 잊지 못하고 있다고....

신파조로 만들어져...
영화는 재미가 없다.










*형제 감독이란다.





*출연진...
남자 배우가 잘생겼고...
게리 시니즈라는 배우만 얼굴이 익다.




 





*줄거리
하나의 사랑이 당신의 삶을 바꾸고, 
하나의 삶은 전 세계를 바꾼다! 

가수를 꿈꾸는 대학생 ‘제레미’는 
우연히 공연장에서 ‘멜리사’에게 첫눈에 반한다. 

운명 같은 사랑도 잠시,
‘멜리사’의 암이 발병하면서
그들에겐 시간이 얼마 남지 않음을 알게 되고,
‘제레미’는 그녀를 위해 기적을 노래하기로 하는데…

전 세계를 울린 기적의 노래가 시작된다!"
아이스 데몬 (The Ice Demon),"아이스 데몬 
Ледяной демон, The Ice Demon, 2021

장르 : 공포, 스릴러
  줄거리 
재혼 가정에서 살고 있던 크슈샤. 10년전 실종되었던 아빠가 식물인간 상태로 발견된다. 의사인 엄마는 막무가내로 아빠를 집으로 데려오는데...
  평점 ★☆☆☆☆
오랜만(?)에 제대로 포스터에 낚인 작품이다. 포스터를 보면 뭔가 굉장한 존재가 등장하는 공포물 같은데... 실제는 전혀 아니다. 일단 괴(?)존재는 등장 자체를 안하고 은근한 표현으로 빙의(?)식으로 나온다. 
  결말
  https://movie.naver.com/movie/bi/mi/basic.naver?code=212518
아이스 데몬
재혼으로 새 가정을 이룬 크슈샤의 아버지가 거의 동사 직전의 빈사상태로 발견된다. 가족은 이로 인해 ...
movie.naver.com"
"아치의 노래, 정태춘 (Song of the Poet)","아치의 노래, 정태춘
감독
고영재
출연
정태춘, 박은옥
개봉
2022.05.18. 대한민국
평점
리뷰보기

아 세상에 얼마나 전혀 갑자기 눈물이 계속 나는지 더우기 오늘개봉날이 518이라 더욱더ㅠㅠ

두분이 부부란걸 이제 알았고요 

참 명곡들 라이브뮤직작처럼 감동였지만 지하단칸방 어린남매사망건 노래 무척 무섭고 슬프고,

92년 물대포 노래 역시 참 가슴아픈 명곡임 

소장용으로 또 보고 싶은 수작음악다큐!"
"아치의 노래, 정태춘 (Song of the Poet)","아치의 노래, 정태춘
감독
고영재
개봉
대한민국
평점
리뷰보기





고영재 감독이 연출한 <아치의노래, 정태춘>은 싱어송라이터이자 사회운동가였던 정태춘의 데뷔 이후 그의 노래와 그의 생각을 담고 있는 음악 다큐멘터리입니다.
  이미 학창시절부터 작곡을 했던 정태춘은 26살에 그 유명한 <시인의 마을>로 데뷔를 하게 됩니다. 이 노래는 지금 개봉 중인 <소설가 구보의 하루> 마지막 술집장면에서 기타 치며 부르는 노래이기도 합니다. 아무튼 78년 당시 <시인의 마을>과 더불어 <촛불>이 메가 히트를 하며 그 해 신인상과 작사가상을 받게 됩니다. 하지만 이후 2,3집의 실패가 이어집니다.
  그리고 다가온 93년. 정태춘은 사전심의제를 반대하며 자신이 만든 음반을 불법으로 판매 및 방송에서 부릅니다. 사전심의제가 창작자의 생각을 제한한다는 것으로 여기며 이런 계획적인 운동을 벌였는데 그는 이를 통해 몇 해 동안 고초를 겪었습니다. 그리고 결국 법원은 정태춘의 손을 들어주고 요즘 세대는 상상도 못 할 사전 심의제가 폐지되었습니다.
  정태춘은 이후에도 사회운동가다운 면목을 보여줍니다. 자신의 고향, 평택에서의 운동과 더불어 적극적인 사회운동을 이어나갑니다. 그가 만든 한국대중음악 100대 음반이기도 한 <92년 장마, 종로에서>에서의 가사는 이런 정태춘의 진면목을 보여주는 가사이기도 하지만 그야말로 한 편의 시이기도 합니다.
  그의 아내이자 가수인 박은옥도 78년부터 그와 함께 음악작업을 함께 해오며 그를 모든 면에서 지지합니다. 그리고 그녀도 <윙윙윙>등의 솔로 히트곡을 생산해내고 정태춘과 함께 한 <사랑하는 이에게>는 너무나 아름다운 멜로디와 가사의 듀엣곡입니다.
  이 다큐멘터리는 기존의 다른 음악 다큐멘터리와는 달리 곡 전체를 들려주는 연출을 보여줍니다. 그래서인지 정태춘의 다양한 음악 세계를 경험할 수 있어 좋았습니다. 그리고 <시인의 마을><92년 장마, 종로에서><사랑하는 이에게>와 같은 메가 히트곡만 알고 있던 저로서는 아예 새로운 음악세계를 접한 느낌이었습니다. 어떤 곡에서는 마치 장기하가 읊조리는 내레이션 혹은 랩 같은 싱잉도 보여줍니다.
  상영 이후 두 사람의 공연이 이어졌는데요. 곡도 좋지만 두 분의 말씀이 차분하면서도 재미나게 진행을 하셔서 무거운 곡의 분위기를 중화시켜 주기도 했습니다. 라이브도 거의 음원을 듣는 것처럼 엄청나시더라고요. 두 분의 아름다운 목소리와 더불어 자신의 이상향을 끊임없이 생각하고 세상에 알리는 좋은 가사의 작품들을 좀 더 만났으면 합니다. "
"아치의 노래, 정태춘 (Song of the Poet)","[영화 아치의 노래, 정태춘] 자본주의 사회에게 음표로 쓴 산문시, 호소문, 고발장 

2019년 정태춘, 박은옥 40주년 기념 공연을 준비하는 과정부터 영화는 시작된다.
선이 굵은 정태춘은 어눌하고 무덤덤한 남자다.
박은옥은 영화 초반 의외로 재치와 유머가 가득한 모습으로 묵직한 주제의 영화 초반 긴장감을 풀어준다.
1977년 혜성과 같이 등장하여 한국 대중음악을 뒤흔든 정태춘의 음악 철학을 공연을 중심으로 그와 지인들의 인터뷰로 인생 여정을 따라가는 다큐멘터리다.


첫 공연의 시작은 제주부터 시작된다.
정태춘의 주옥같은 초기작 시인의 마을과 촛불로 콘서트장에 초대 받은 느낌으로 과거를 소환하는 즐거움이 가득한 장면이었다.
영화를 염두 해 둔 녹음 상태는 매우 양호하여 영화관 스피커로 울려 퍼지는 두 사람의 목소리는 선명하게 들렸다.


정태춘은 평택 팽성의 8남매의 일곱째로 태어나 평택고를 졸업하였다.
학교에 현악부가 새로 생겨 바이올린을 처음 접하면서 음악에 관심을 두었다.
정태춘은 밥 딜런 보다는 황야의 늑대 닐 영과 유사한 울부짖음이 있다.
간결한 가사와는 거리가 먼 추상적인 산문시가 주는 난해함은 당시 암울한 사회에 작은 파문을 일으킨다.


데뷔 앨범의 성공으로 2~3집은 크로스오버 국악을 접목한 실험적인 음악을 선보이지만 처참하게 실패하였다.
지금도 2집 탁밠긍의 새벽노래는 언더그라운드의 전설적인 노래로 남아 있다.
국악 반주로 대중가요를  시도한 3집 '우네'는 이후 현재 대중 음악의 지표를 열었다.
레코드사에서 만난 박은옥과 부부의 연을 소개하는 장면부터 천생연분의 인연임을 확인 한다.
정태춘은 활발한 방송 활동을 하지 않아 다큐 영화의 자료가 한정적이라 자료 화면이 부족해 다양한 화면을 보여 주지 못한다.
역설적으로 그의 차분한 성격을 상징한다. 


흥행 참패는 소극장 공연으로 이어져 김광석을 비롯한 후배 가수에게 신선한 방향을 제시하였다.
음반으로 발매 하지 못하는 은유 가사를 검열 없이 관객과 소통하는 자리가 되었다. 


청계피복노조 일일 찻집에 초대된 정태춘은 이후 노동운동에 관심을 갖고 직설적인 가사로 노래한다.
사전 심의로 음반 활동이 불가능해진 정태춘은 대놓고 불법 음반 테이프를 판매한다.
놀랍게도 노영심이 진행하는 KBS 방송에도 출연하였다.
군부는 정태춘을 건드려서 대중들의 관심을 쏟게 하지 않고자 조심스레 대응하였다.


결국 재판으로 이어진 사전 검열 폐지 문제는 노무현, 천정배 변호사의 돌움으로 승리한다.
우리가 아는 사전 심의 폐지의 불씨를 정채춘이 어렵게 피운 결과다.


전교조를 위한 '송아지 송아지 누렁 송아지'는 싱글 노래가 몇 곡 들어간 앨범이 아니라 음악극 형태의 컨셉 앨범이다.


결국 민중을 벗어난 대중들의 외면에 좌절한다.
자본주의 사회에 굴복하는 심정으로 조용히 은퇴를 결심하고 대중들은 정태춘을 망각하게 된다.
비 활동 시기의 심정을 담은 아치의 노래는 나락으로 추락하는 심정을 담았다.


5.18
노래 제목부터 직설적이지만 가사 내용은 적나라하게 범죄를 고발하고 희생자를 위로하는 비탄스러운 노래다.
전국 순회 공연으로 광주를 선택한 것은 당연한 일이다.
공연 실황 장면에서 정태춘을 비판하면서 퇴장하는 관객도 있었지만 의연하게 5.18을 끝까지 부르짖었다. 인간은 망각의 동물이고 퇴화를 거듭하는 실수를 반복하는 모습이라 당황스러웠다.
대분분 관객의 비탄과 억장이 무너지는 심정으로 눈물을 글썽거렸다.


아티스틱 수영 국가대표 유나미는 1998년 방콕 아시안게임 은메달리스트다.
어느덧 가정을 꾸려 주부가 된 그녀는 2019년 광주세계 마스터스 수영 대회에 복귀를 한다.
배경음악으로 그녀가 선곡한 노래는 놀랍게도 정태춘의 5.18이었다.
아름다운 아티스틱 수영의 음악으로 5.18을 선택한 점은 놀라운 용기였다.


자유를 향한 외침을 멈추지 않는 이유는 숙명적이라고 해석해야 될까?
무지한 대중들에게 전하는 그만의 고집이 무모하고 애처롭다.
후배 아티스트 김종진, 강산에 등 잠시 모습을 비추면서 정태춘에 대한 존경심을 확인 할 수 있다.



다양한 팬들의 사연도 소개된다.
루게릭병으로 앞으로 생을 짐작하기 어려운 여성은 박은옥의 목소리로 위로를 받는다.
청소년 인권 활동가의 길을 걷는 젊은 여성은 촛불집회에서 정태춘의 존재감을 확인하고 그의 노래를 찾아 듣게 된다. 


고향 평택 팽성읍은 미군 부대로 강제 수용된다.
이 과정에서 격렬하지만 나약한 농성이 발생하고 정태춘은 그 자리에서 몸부림 친다.
광주,군부독재, IMF, 국정농단 등 가엾은 한국의 상처에 그는 나타났다. 

 정태춘의 고향을 양평의 조용한 숲속 또는 속초의 해변가 아늑한 어디쯤으로 생각했다.
초창기 아름다운 수채화와 같은 북한강에서, 시인의 마을, 떠나가는 배 등의 가사는 맑은 바다를 연상 시켰고, 이후 정동진의 배경은 물가와 가까운 느낌이었다.
영화가 시작되자마자 평택의 너른 평야에서 논 농사를 지은 시골 청년임을 알게 되었다.
우연일까?
상영하는 영화관을 검색하다 보니 평택 CGV에서 평일 저녁 시간에 상영하고 있어 관람이 가능했다.
평택에서 평택을 고향으로 둔 정태춘의 다큐 영화를 관람헤서 느낌이 새롭다.
영화 종영 후 평택역 광장을 둘러 보았다.
서쪽 광장은 불편한 5거리가 엉켜 있는데 상가와 술집으로 가득했다.
술에 취해 비틀거리는 어린 미군 병사도 눈에 띈다.
동쪽 광장으로 나가 보니 제법 추워 지는 날씨에도 노숙자들이 상자를 담요 삼아 웅크리고 오지 않는 잠을 청하고 있었다.    


영화 엔딩곡은 정동진3로 그의 철학을 들려준다.
노래라는 특징은 가사와 함께 멜로디와 화음이 있어야 한다.
계몽주의 장르에 갇힌 정태춘의 후기 노래는 가사만 존재한다.
초기 영롱한 멜로디를 창작한 천재성을 잃어 버렸지만 생명력이 영원한 가사를 유산으로 남겼다.
젊은이들이 민주화 과정을 요약해서 알고 싶다면 그리고 포크록의 진지함을 느껴 보고 싶다면 '아치의 노래, 정태춘'을 추천하고 싶다. 


  아치의 노래, 정태춘
감독
고영재
출연
정태춘, 박은옥
개봉
2022.05.18. 대한민국
평점
리뷰보기"
"아치의 노래, 정태춘 (Song of the Poet)","아치의 노래, 정태춘
감독
고영재
출연
정태춘, 박은옥
개봉
2022.05.18. 대한민국
리뷰보기


'사람이 책이고 마을이 도서관이다'
굉장히 누군가 말했을 법한 문장인데, 실제 덴마크 사회운동가가 창안한 행사의 이름이라고 한다.

사람은 책을 선택할 수 있고, 호불호도 당연히 가질 수 있으니 모든 책이 읽히거나 도서관에 비치될 필요는 없다.
그런데 간혹 취향도 아니고 평상시 궁금한 것도 없었지만 그 누가 봐도 한바가지 공감 지점이 최소 한가지 이상은 잡힐 만한 사람책이 있다.

영화 <아치의 노래, 정태춘>에서 삶의 궤적을 따라 덤덤하고 말끔하게 전개되는 이야기는 마치 노래 인생의 궤적과 유사하기 그지 없다. 
만든 노래처럼 인생을 살고, 노래라는 일상의 일과 노동이 그대로 인생인, 
누군가든 한번 쯤 부러워할만한 삶의 자세.
물론 누군가에겐 꼰대같고 다 옛 일 같고 주변인들은 힘들었을 것 같고해서 펼치기 싫은 책일지도 모른다.
노래를 좋아하던 사람들이라면 보는 내내 행복하게 콘서트 즐기 듯 보게 될거고,
노래 어디선가 들어봤는데 가수를 모르던 사람들이라면 신기한 듯 보게 될거고,
노래와 상관없이 90~2000년대 예술계 동향을 몰랐던 사람들이라면 '당연'이 된 당연하지 못했던 사실들을 알게 될거고,
반복되는 한가지 일만 하는 자신이 지치고 삶의 길을 잃을 것 같다 싶은 사람들이라면 한가지 일만으로도 자신의 생각과 소신으로 행동하면 인생이 얼마나 버라이어티해지는 보게 될 듯하다."
