title,reviews
데드캠핑 더라이브,"데드캠핑 더라이브
감독
김현우
출연
남지현
개봉
2022.05.12. 대한민국
평점
리뷰보기

포미닛 출신 남지현이 주연을 맡은 스릴러물이랄까요?
솔로캠핑 유튜버를 찾아온 정체불명의 집단과의 싸움이랄까요?
저예산 영화 느낌이라 완성도는 떨어지는 편인데 러닝타임도 짧고 해서 그냥저냥 봤네요."
데드캠핑 더라이브," 5월 12일 개봉하는 영화 '데드캠핑 더 라이브'입니다.
그런데...오늘 '올레티비'에 올라온것을 보니..
바로 'IPTV'로 넘어온듯 싶은데요..
(사실 극장에서 개봉했어도 볼 생각은 없었지만 ㅋㅋㅋ)

오늘 '야간근무'인지라...
심심하던차에, 올라온것을 보고 바로 '시작'을 했는데요..
보고나니 왜 막바로 넘어온것인지 '이해'가 되는..

 

인기 유투버인 '수연'


그녀는 '캠핑'을 떠나고, 그것을 '라이브'로 방송을 하는데요..


그런데 누군가가 그녀를 찾아옵니다..


그녀를 공격하는 '괴한'들


그런데 갑자기 이상한 '화장'으로 '변신'한 '수연'은


도리어 '괴한'들을 한명씩 '제거'하기 시작하는데요..


사실 이 모든것은 '함정'이였던...


그녀의 처절한 '복수'가 시작이 되는데요...









'데드캠핑 더라이브'는 '개봉'소식이 알려져도 그닥 볼 생각은 없었는데요 ㅋㅋㅋ
'포스터'부터 '예고편'까지 완전 '저예산'티가 확 나고.
'러닝타임'이 72분 밖에 안된다는 것을 보고...더욱 볼 생각이 없었는데 ..

오늘 '올레티비'에 올라온것을 보고..
그래도 궁금은 하더라구요....과연 '예상'대로일까?
아니면 '킬링타임용'은 될까?
그런데 보고나니, 역시나였던 ㅠㅠ

인기 유투버인 '수연'
그녀는 '캠핑'을 떠나 '라이브방송'을 하는데
'괴한'들이 그녀를 공격하는데요..

그러나 '수연'의 '함정'이였고..
도리어 '괴한'들이 '수연'에게 살해당하기 시작합니다.

문득..'복수'하려면 저렇게 '화장'을 해야되나? 싶기도 했었던..
이상한 '눈화장'ㅋㅋㅋㅋ

그리고 '수연'이 복수하는 '이유'가 나오는데요..

요즘 'BJ'나 '유투버'들이 워낙 많으니 말입니다.
그중에선 '조회수'를 올리려고 엄청 '자극적'인 '짓'을 하는 사람들도 있는데요.

실제로 이런 일까지 벌이는 사람들은 있을까? 하겠지만
'감독'의 상상에 의해 벌여진 '끔찍한 일'

그리고 '수연'은 '복수'를 위해 '함정'을 파왔단것..
제대로 걸린 넘들이였는데요...

사실.. '남지현'의 처절한 '액션연기'는 좀 기대를 했었는데..
'액션'도 '생각'보다 '부족'하고..
'괴한'들의 어색한 '연기'도 그렇고..

'기사'에서 보니 '한소희'씨의 '액션연기'랑 비교하기도 하던데..
솔직히 '급'이 다릅니다...

'남지현'씨의 팬들은 좋아하실지 모르겠지만..
저는 그닥..별루..

그다지 '추천'해드리고 싶지 않은 '작품'입니다..

데드캠핑 더라이브
감독
김현우
출연
남지현
개봉
2022.05.12. 대한민국
평점
리뷰보기"
데드캠핑 더라이브,"데드캠핑 더라이브
감독 김현우 출연 남지현 개봉 2022.05.12. 대한민국
리뷰보기




K-툼레이더

여군이 여동생의 복수를 하기 위해 캠핑 유튜버로 분해 범죄자 유튜버 조직을 유인해 몰살시킨다는 이야기다. 이렇게 대충 만들거면 차라리 '네 무덤에 침을 뱉어라' 처럼 보는 이로 하여금 분노할 수 있는 장면 즉 여동생이 범죄자 유튜버 조직들에게 집단 성폭력을 당하는 장면을 강하게 넣든가 아니면 '방황하는 칼날' 처럼 친족 복수극으로 하던가 했어야 했는데 그저 여군, 인터넷 라이브 방송에 꽂혀서 이도저도 아닌 작품을 만들고 말았다.

함은정의 '실종 2' 가 지금까지 아이돌 최고의 흑역사 작품이라 생각했는데 본 작품에 비하면 선녀였다."
데드캠핑 더라이브," 

전체적으로 어설프고 허접한 부분들이 엄청 많지만 그래도 B급 영화 치곤 나름 노력한 흔적들이 보인다.

뜬금없이 여자 람보가 되는 것 까지는 좋은데 나쁜 놈들을 죽이는 과정들이 너무 서툴고 모양새가 꽝이다.

그래도 감독이 어설프게나마 이런 종류들에 영화를 보긴 보고 많이 흉내를 낸 것도 있지만 가능성은 보인다.

당연히 죽여야 하고 죽어야 될 놈들을 죽인 거지만 사실 현실은 영화의 내용 보다 몇 배는 심한 게 사실이다.

그렇다고 그런 놈들을 저런 식으로 죽이려 한다면 먼저 죽는다는 것도 판단은 해야 하는데 영화니까 그냥 봐주자

여하튼 어설픈 연기들로 하나의 영화를 시작하고 끝내는데 모두가 노력을 한 것은 분명히 보인다.

또한 무명 감독의 작품 치고는 어설픈 부분도 있지만 유명 감독도 못하는 독특한 방법의 연출들이 대단한 것 같다.


데드캠핑 더 라이브 . 2022


데드캠핑 더라이브
감독
김현우
출연
남지현
개봉
2022.05.12. 대한민국
리뷰보기"
데쓰 캘린더 (The Advent Calendar)," 공포 스릴러 영화 <데쓰 캘린더>는 선물로 받은 어드벤트 캘린더를 열면서 악마와의 거래가 시작되는 이야기를 그린 작품이다.

아름다운 외모를 지닌 에바는 전직 댄서로 불의의 사고로 하반신 마비가 된다. 그녀는 친구 소피로부터 크리스마스까지 매일 열어보는 어드벤트 캘린더를 선물 받는다.

어드벤트 캘린더란 '강림절 달력'이란 뜻으로 크리스마스 전 4주간의 기간 동안 날짜에 맞는 칸을 열면 랜덤으로 작은 선물이 들어있어 매일매일 새로운 선물과 성탄절을 기다리는 재미가 있는 제품이다.

영화 <데쓰 캘린더>에서 나오는 캘린더의 외부에는 '이걸 버리면 죽는다'는 섬뜩한 메시지가 적혀 있고, 매일 캘린더를 열 때마다 사건들이 일어난다.

소소한 행복부터 시작해 위험한 일들이 점차 강도가 높아지며 벌어진다. 하지만, 위험한 일들이 일어날수록 에바에게 유리한 방향으로 진행되고 점차적으로 캘린더에 집착하게 된다. 캘린더라는 악마의 유혹에서 헤어나올 수 없게 된다.

영화는 크리스마스 전에 소소한 행복을 느낄 수 있는 캘린더라는 소재로 극도의 공포감을 선사한다.

매일 달력을 열 때마다 오늘은 어떤 소소한 행복이 기다릴까 궁금해지는 기분이 어떠한 공포가 기다릴까로 바뀌며 전혀 다른 두근거림을 준다.

기괴하고 섬뜩한 장면이 사실감 있게 그려지지만, 그 안에 내포한 인간의 욕망을 드러내며 몰입해 보게 된다.

캘린더를 열면 절대적으로 지켜야하는 규칙이 존재한다. 초콜릿과 캔디는 한 번에 다 먹어야 한다는 규칙이다.

처음에는 간단한 규칙 같아 보이지만 규칙을 지키지 않으면 죽는다는 섬뜩한 규칙도 함께 존재해, 싫어도 무서워도 무조건 해야 하는 상황이 벌어진다.

'예수께서 앉은뱅이에게 일어나 걸으라고 말씀하셨다'라는 글과 함께 성모 마리아상 모양의 캔디가 나오고, 에바가 그 캔디를 먹었을 때 신비한 경험을 하게 된다.

하반신 마비인 에바는 캘린더로 인해 일상이 흔들리고 앉은뱅이의 기적을 기대하며 캘린더의 유혹에 빠지게 된다. 캘린더는 문을 여는 사람에 맞춰 그 사람이 원하는 일들을 들어주지만, 잔인한 대가를 치러야 한다.

캘린더는 에바가 처음 이용한 것이 아니라 이전에 다른 사람들도 이용한 것으로 그 사람을 찾아가 캘린더에 숨겨진 비밀을 찾아낸다.

예상치 못한 마지막 반전은 에바가 무엇을 선택했는지 궁금증을 자아내며, 관객들은 자신이라면 무엇을 선택할지 고민하게 한다.

공포감에 더해 인간의 숨은 욕망을 드러내는 영화로 오랜만에 꽤 즐거운 공포감을 선사한다. 장애인에 대한 차가운 시선도 함께 느낄 수 있어 현재 사회를 돌아볼 기회도 준다.

초여름 당신의 간담을 서늘하게 하며 여름 더위를 날려줄 공포 스릴러 영화 <데쓰 캘린더>는 오는 23일 개봉한다.

/마이스타 박선영 기자

기사 원문보기 http://www.mystar.ne.kr/archives/10428
[마이스타] 평범한 일상이 흔들릴 때, 당신의 선택은?
공포 스릴러 영화 는 선물로 받은 어드벤트 캘린더를 열면서 악마와의 거래가 시작되는 이야기를 그린 작품이다. 아름다운 외모를 지닌 에바는 전...
www.mystar.ne.kr

데쓰 캘린더
감독
파트리크 리드르몽
개봉
2022.06.23. 프랑스, 벨기에
리뷰보기
 "
도어맨 (The Doorman),"도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
평점
리뷰보기
킬링타임용이다.
처제와 형부 사이에 묘한 기류가 흐르긴 하지만
선을 잘 지키고 있다.
동독의 그림을 찾으러 나타난 이들을
해병대 출신 앨리 골스키 중위가
하나씩 처리하는 영화다."
도어맨 (The Doorman),"3월 16일 개봉한 영화 '도어맨'입니다.
'루비 로즈'와 '장 르노'가 나온다고 하고..예고편도 잼나보여서, 기대하던 영화였는데..
왜 '개봉'은 했는데, '상영관'은 하나도 없는지..ㅠㅠ
그런데 본 사람들도 그닥 '평'들이 좋지 않더라구요..

'혹평'들이 많지만.. 
그래도 보고싶었던 영화였는지라, 'VOD'로 올라오기만을 기다렸는데 말입니다.
오늘 '야간근무'라 출근해서 '회사'에서 보니 있더라구요 ㅋㅋㅋ
그래서 바로 시작을 했습니다..


'해병대 경호여단'소속의 '앨리 골스키'중사
그녀는 '루마니아'대사와 가족들을 '경호'하고 있는 가운데..
'테러범'들의 '습격'을 받습니다.

그러나 '테러범'의 '공격'에 모두들 죽고 홀로 살아남는데요..


'퇴역'후 '뉴욕'으로 돌아온 '앨리'
여전히 '트라우마'에 시달리고 있는 가운데..

그녀의 '삼촌'은 '앨리'에게 '도어맨'자리를 소개해줍니다.


현재 '리모델링' 예정인 '아파트'로 대부분의 '입주민'들이 나갔는지라
'빈집'만 잘 지키면 되는 간단한 일이였는데요..

아니 그런줄 알았는데요..


그런데 남은 '입주민'도 있었습니다..

'뇌졸증'남편을 데리고 있는 '허쉬'부부와
'아내'의 죽음이후 '부활절'만 보내고 떠나려는 '스탠튼'가족..

참고로 '스탠튼'의 아내는..
바로 '앨리'의 '언니'인....


'앨리'는 '조카'들의 '초대'에
'부활절' 식사를 같이 하려고 했는데..


'아파트'에 '불청객'들이 들어닥칩니다.

그들은 '허쉬'부부를 찾아가 '그림'이 어디있는지 묻고
그들을 죽여버리는데요..


그리고 '스탠튼'가족의 '집'을 들이닥치는...


한편 '허쉬'부부의 시체를 발견한 '앨리'는
동료에게 '경찰'에 신고하라고 연락하는데..


그 '동료'가 바로 '강도'두목의 '오른팔'인..


겨우 '공격'을 모면한 '앨리'는..
'조카'들을 구하기 위해 홀로 '사투'를 벌이기 시작합니다...









'루비 로즈'는 요즘 뜨는 '액션 배우'인데요..
'존윅'에서 '키아누 리브스'랑 싸우다 죽는 '킬러'로 인상깊게 나왔고
'라이즈 오브 스완'에서도 '메인빌런'으로 마지막에 '주인공'이랑 징하게 싸우다 죽고..
'레지던트 이블'에서도 '끔살'당했는데 말입니다..ㅠㅠ

보면서 오랜만에 안 죽는 역할로 나왔구나 생각이 들었습니다 ㅋㅋㅋㅋㅋㅋ

영화에서 초반에 '과거'장면이 나와서
'루마니아'대사가족이 죽고 '불명에 퇴역'한줄 알았는데..
'장 르노'가 조사한 자료에 의하면..
그 이후 '여군'으로서는 세번째로 '은성무공훈장'을 받은것으로 나옵니다.

그러나 '트라우마'로 '퇴역'한듯 싶은데 말입니다
그녀에게는 잊을수 없는 기억이니..

그리고 평범한 '도어맨'으로 일하는 그녀..
이 정도 '경력'이면 '경찰'로 특채해도 될텐데 말이지요
왠지 아까운..

'삼촌'의 '배려'로 '조카'들과 가까워질 기회를 얻습니다
그러나 그때 등장한 '강도'들...

영화를 보다보면 '루비 로즈'판 '다이하드' 느낌이 들었는데요..
단순한 '도어맨'인줄 안 '강도'
그리고 한명씩 해치우는 '앨리'...

그런데 많은 분들이 이야기하시듯이 생각보다 '액션'이 약한 느낌도 듭니다만..
그래도 '킬링타임용'은 충분히 되는듯 싶었습니다.

많은 분들이 '혹평'하셔서..
저도 '혹평'할 '각오'로 봤는데, ...완전 '망작'수준은 아니였습니다..
그냥 볼만했었던....

비중은 생각보다 작지만, 오랜만에 '장 르노'가 나와서 반가웠고요.
'루비 로즈'의 액션도 괜찮았고 말입니다..
넘 기대안하고 보면 ...'시간 때우기용'으로는 괜찮지 않을까? 싶습니다..

도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
평점
리뷰보기"
도어맨 (The Doorman),"[영화 도어맨] 거창한 램블란트 vs  카라바조는 진품이 아니라 프린팅 포스터

코로나로 개봉 영화가 가뭄 시기에 영화관을 찾는 또 다른 즐거움이 있다.
우선 영화관이 쾌적해졌다.
영화관에서 팝콘을 우적우적 먹는 현상이 무척 싫다.
한때는 팝콘 잡음 소리가 거슬려 음식물 반입이 금지된 인디영화관을 선호한 적도 있었다.
한 칸 띄어 앉기 덕분에 다리를 꼬고 앉을 수 있어 편하다.
가장 좋은 점은 다양성 영화와 예술성 영화를 영화관 골든 타임에 관람이 가능해졌다.
주말은 새벽이나 심야에 달랑 한번 상영하거나 지방에서는 관람이 불가능한 영화도 만날 수 있었다.
하지만 초반의 다양성 영화 개봉은 관객의 외면으로 수입사들은 작품성이 없더라도 관객을 낚을만한 영화 수입으로 방향을 전환하였다.
관객 스스로가 영화관을 망치는데 일조하고 있다.
나도 도어맨을 보면서 무지한 관객의 행렬에 동참한 꼴이 돼버렸다.
한때는 영화사의 한 획을 그은 장 르노가 그저 그런 배우의 길을 선택해서 배신감까지 느꼈다.


루마니아 주재 미국 대사관 군인 루비 로즈가 경호 과정에서 대사 가족이 몰살 당한다.
영화 오프닝은 익숙한 장면이지만 실감 나는 액션으로 시작해서 영화 후반부가 더욱 기대되었다.


루마니아 근무 시절 트라우마로 루비 로즈는 리모델링을 앞 둔 고급 아파트의 도어맨으로 취직한다.
리모델링 공사로 모두 퇴거 상태인데 두 집은 거주 상태다.
치매 노인부부와 루비 로즈의 죽은 언니 가족이라는 억지스러운 설정이 거슬린다.
고립된 공간에서 테러범과 주인공의 편안한 대결을 위해 무리한 설정은 충분히 용서가 된다.
과연 기대한 액션이 전개 되기를 바라면서 지루함을 견뎌 보았다.


테러범은 파렴치한 범죄자지만 다이 하드에서 만큼은 멋지다는 감탄사가 절로 튀어 나왔다.
이후 다이 하드 따라잡기에 열중하는 비슷한 영화에서 테러범의 비주얼은 매우 중요한 요소다.
도어 맨의 테러 범 일당 7명은 분위기를 못 잡고 경망스럽다.
긴장감을 더 해주는 음악도 실종되었다.
장 르노의 부드러운 불어는 잔악한 무리의 품격 있는 우두머리 분위기를 띄워 액션 보다 눈에 띈다.  


루비 로즈는 존 윅, 레지던트 이블, 트리플엑스 리턴즈에서 조연이지만 강력한 카리스마를 보여주었다.
액션 배우의 상징이나 다름없는 키아누 리브스, 빈 디젤, 밀라 요보비치의 존재 속에서도 짧은 출연 분량으로 강력한 인상을 남겼다.
루비 로즈는 예쁜 배우는 아니지만 예쁘다.
남성을 제압하는 여성의 적절한 중간선의 미모는 거추장스러운 타투도 어울리게 만든다.
단독으로 영화를 이끌어 나가야 되는 주인공으로 루비 로즈 모습을  도어 맨에서 기대하였다.
기타무라 류헤이는 시체가 튀어 나오는 황당한 설정마저 기발한 재치를 보여준 특이한 감독이다.
오컬트를 선호하는 감독이 현실 액션에서 상상력을 뛰어 넘는 액션을 보여 줄까 잔뜩 기대 했다면 실망이 더 크게 밀려들었다.  


장 르노의 전성기 때는 장 가방과 장 폴 벨몽도의 장점을 갖춘 배우라서 특히 좋아했다.
좋은 작품보다 다작을 선택하여 존재 가치를 하락 시키고 있지만 언젠가 그의 명성에 걸 맞는 걸작을 기다려 본다.
주름을 감추려 과도한 보톡스로 얼굴 근육이 부자연스러운 모습이 서글펐다.
굵직한 주름이 주는 관록이 오히려 멋진데..


엉뚱한 상상을 해본다.
론다 로우지와 내가 싸운다면?
아만다 루네스, 사이보그는 자신 없지만 론다 로우지는 이길 것 같다.
총기류를 놓고 육탄 대결은 여성이 불리한 것은 사실이다.
영화는 그런 약점을 실감나게 보완해야 된다.
루비 로즈는 총을 놓고 육탄 액션을 펼치는 장면은 얼굴에 인상만 가득하고 둔한 움직임으로 타격감이 전혀 없었다.
왼팔이 다친 설정으로 나오다 보니 날렵한 모습과 거리가 멀었다.
액션 영화에서 액션이 부자연스러우면 이미 흥미가 반감된다. 


테러범 행동대장으로 출연한 엑셀 헨닌 북유럽 특유의 냉혹한 외모와 천연덕스러운 유머를 갖춘 배우다.
요네스뵈의 소설을 영화화 한 헤드헌터에서 엑셀 헨니는 초조한 찌질한 남자와 다수의 액션 스릴러 영화에서 존재감을 보여주는 능숙한 변신을 보여주었다.
도어 맨에서 냉혹한 킬러로 루비 로즈와 정면 대결을 펼치지만 시나리오 자체가 부실해 그의 능력을 펼칠 만한 장면이 부족했다.
두 사람은 명화를 돌돌 말아 보관한 원통으로 치고 받는다.
원통 안에 바로크의 거장 카라바조와 램블란트 진품으로 각각 8천만 달러 작품이 들어 있다.
스타워즈 광선검과 버금가는 고가의 무기다.
영화가 끝나면서 깨달았다.
원통 안의 카라바조와 램블란트 그림은 진품이 아니라 아트샵에서 손 쉽게 구입 가능한 프린팅 포스터란 것을..
도어맨은 다이 하드를 모방한 프린팅 포스터였다.
영화 수입업자분들은 영화를 사랑하는 사명감으로 영화 선택을 했으면 한다.


  도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
평점
리뷰보기"
도어맨 (The Doorman),"도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
평점
리뷰보기



기타무라 류헤이 감독이 연출한 <도어맨>은 트라우마를 가진 한 여성이 아파트 도어맨으로 새로운 삶을 시작하는 순간 벌어지는 큰 사건을 다루고 있는 액션영화입니다.
  해병대에서 복무하는 루마니아 미 대사관에서 근무하는 알리는 대사관 가족과 함께 이동하는 과정에서 테러를 당하게 되고 홀로 살게 됩니다. 큰 트라우마를 안고 제대를 한 그녀는 고급 아파트 도어맨으로 새로운 삶을 살게 됩니다. 근무한 바로 다음 날 이 아파트에 자신의 언니의 남편 그러니까 형부와 조카들이 살고 있다는 것을 알게 됩니다. 사이가 썩 좋지 않은 관계였지만 아파트 리모델링 때문에 떠날 그 식구들과 저녁을 함께 하려고 합니다.
  한편 무장 괴한들이 그 날 아파트로 쳐들어옵니다. 알고 보니 이들은 또 다른 남은 사람인 버나드가 빼돌린 고가의 미술품을 찾으러 온 일당들이었고 이들은 또 다른 알리의 동료 도어맨과 거래 관계였습니다. 괴한의 우두머리인 빅터(장 르노)는 그림의 위치를 버나드에게 물어보니 그곳은 바로 알리의 형부 집이었습니다. 그렇게 빅터와 일당들은 형부의 집으로 쳐들어가고 마침 그 자리에 없던 큰 조카와 알리는 형부와 또 다른 조카를 구하려고 합니다.
  심플한 스토리의 여전사 이야기입니다. 여전사의 필수조건인 트라우마 역시 존재하고요. 결론부터 말하자면 모든 면이 아쉬웠습니다. 특히 기대도 안 했지만 배우의 연기력이 현저히 떨어지는 작품이었습니다. 주연 배우인 루비 로즈의 경우, 액션 장면을 제외한 대사 연기가 모두 어색합니다. 그 순간 배우가 어떻게 표정을 지어야할지 모르고 있는데다가 어색하기 짝이 없습니다. 다른 배우들도 마찬가지인데 장 르노를 제외한 배우들의 연기력이 너무나 아쉬웠습니다. 액션영화라는 점을 고려하고 보더라도 그렇습니다.
  그렇다고 해서 액션 장면이 훌륭한 것도 아니었습니다. 어떤 호흡의 콘셉트를 갖고 편집을 했는지 도무지 이해가 안 가더라고요. 배우들의 액션 자체는 나쁘지 않은데 편집이 그림을 망친 경우라고 생각됩니다.
  그리고 가장 문제가 된 것은 알리의 형부 집에서 벌어지는 장면들이었습니다. 빅터가 그 집을 점령하고 금고를 터는 데 인질로 잡혀 있는 형부와 그의 딸은 너무나 편안한 상황입니다. 둘은 그냥 소파에 앉아있습니다. 누가 총을 겨누지만 포박이 되어 있지만 않습니다. 심지어 빅터에게 술을 권하기도 하죠. 그런데 어느 순간은 마치 그 동안 인질로서 공포심을 느껴다듯이 몰래 노트북을 사용하다가 걸립니다. 그런데도 불구하고 빅터 일당은 이들에게 어떤 위해도 주지 않습니다. 빅터 캐릭터 자체가 아주 폭력적이고 폭압적인 인물이 아니라는 건 알겠는데 이런 설정은 이해할 수가 없습니다.
  과거에 엄청 주목받았다고 들은 기타무라 류헤이 감독의 작품이라 <레이드>와 같은 영화를 살짝 기대해봤는데 여러모로 너무 아쉬운 작품이었습니다."
도어맨 (The Doorman)," 

여전사 '루비 로즈' 아직은 어설프지만 앞으로 그녀의 절도 있는 액션을 계속해서 기대를 해본다.

이런... '장 르노' '레옹' 이전에는 멍청한 역할만 하다가 '레옹' 이후는 나쁜 놈 역할만 여기선 멍청하게 나쁜 놈

스토리도 볼만하고 액션도 그런대로 볼만하지만 쉽게 풀 상황도 너무 어렵게 풀어가는게 답답하다.

감독은 괜히 상황을 어렵게 만들어 관객에게 긴장감을 의도하지만 글쎄 왜 저러지 하고 엄청 왕짜증이 난다.

그래도 배우들 이름값은 나름 확실하게 하고 전체적으로 재미는 있는데 군데군데 아쉬운 건 아쉬운 거다.

아무리 '옥에 티'를 줄줄이 달고 가도 재미만 있으면 그만인 게 액션 영화의 묘미인 것도 사실이다.
The Doorman 2020


P204 
도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
리뷰보기

 "
